file,churn_raw,churn,authorCount_raw,authorCount,primaryOwnerShare,ownerConcentration,cochangeBreadth,recency,lastCommitDate,riskScore
internal/locator/args.go,7,0.8672,2,0.6131,0.5714,0.4286,0.215,0.9889,2026-06-23,0.6552
cmd/mcp-server/handlers_query_test.go,4,0.6712,2,0.6131,0.5,0.5,0.3271,0.9889,2026-06-23,0.6373
internal/locator/args_test.go,4,0.6712,2,0.6131,0.5,0.5,0.1776,0.9889,2026-06-23,0.6148
internal/mcp/pipeline/pipeline_test.go,4,0.6712,2,0.6131,0.75,0.25,0.3178,0.9889,2026-06-23,0.5859
internal/analysis/service_test.go,4,0.6712,2,0.6131,0.75,0.25,0.271,0.9889,2026-06-23,0.5789
cmd/mcp-server/integration_test.go,3,0.5781,2,0.6131,0.6667,0.3333,0.3084,0.9889,2026-06-23,0.5779
cmd/mcp-server/executor_no_cli_test.go,2,0.4582,2,0.6131,0.5,0.5,0.271,0.9889,2026-06-23,0.5756
internal/mcp/executor/handlers.go,8,0.9163,1,0.3869,1.0,0.0,0.4486,0.9889,2026-06-23,0.5715
cmd/mcp-server/tools_schema_test.go,2,0.4582,2,0.6131,0.5,0.5,0.243,0.9889,2026-06-23,0.5714
cmd/mcp-server/executor_test.go,3,0.5781,2,0.6131,0.6667,0.3333,0.2523,0.9889,2026-06-23,0.5695
internal/provider/claude/provider.go,2,0.4582,2,0.6131,0.5,0.5,0.2897,0.9,2026-06-15,0.5606
internal/mcp/query/query.go,3,0.5781,2,0.6131,0.6667,0.3333,0.1495,0.9889,2026-06-23,0.554
internal/provider/codex/rollout_test.go,2,0.4582,2,0.6131,0.5,0.5,0.243,0.9,2026-06-15,0.5536
internal/analyzer/timeline.go,2,0.4582,2,0.6131,0.5,0.5,0.1589,0.9556,2026-06-20,0.5521
internal/provider/codex/rollout.go,3,0.5781,2,0.6131,0.6667,0.3333,0.243,0.9,2026-06-15,0.5503
internal/mcp/tools/tools.go,6,0.8115,1,0.3869,1.0,0.0,0.4673,0.9889,2026-06-23,0.5481
cmd/mcp-server/main_test.go,3,0.5781,2,0.6131,0.6667,0.3333,0.2056,0.9,2026-06-15,0.5447
cmd/mcp-server/executor.go,2,0.4582,2,0.6131,0.5,0.5,0.1776,0.9,2026-06-15,0.5438
internal/mcp/executor/provider_query.go,2,0.4582,2,0.6131,0.5,0.5,0.1869,0.8889,2026-06-14,0.543
internal/locator/hash_test.go,2,0.4582,2,0.6131,0.5,0.5,0.1121,0.9,2026-06-15,0.534
internal/locator/locator_test.go,2,0.4582,2,0.6131,0.5,0.5,0.1121,0.9,2026-06-15,0.534
internal/mcp/tools/tools_test.go,4,0.6712,1,0.3869,1.0,0.0,0.3925,0.9889,2026-06-23,0.5018
internal/mcp/pipeline/pipeline.go,5,0.7472,1,0.3869,1.0,0.0,0.2617,0.9889,2026-06-23,0.5012
cmd/mcp-server/executor_phase25_cleanup_test.go,4,0.6712,1,0.3869,1.0,0.0,0.271,0.9889,2026-06-23,0.4836
internal/analysis/service.go,4,0.6712,1,0.3869,1.0,0.0,0.1589,0.9889,2026-06-23,0.4668
internal/session/normalize.go,4,0.6712,1,0.3869,1.0,0.0,0.2243,0.9,2026-06-15,0.4588
internal/mcp/executor/executor.go,3,0.5781,1,0.3869,1.0,0.0,0.2243,0.9889,2026-06-23,0.4533
cmd/mcp-server/query_executor_test.go,3,0.5781,1,0.3869,1.0,0.0,0.1682,0.8889,2026-06-14,0.4249
cmd/mcp-server/server_test.go,2,0.4582,1,0.3869,1.0,0.0,0.2336,0.9889,2026-06-23,0.4247
